# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu May 13 21:36:08 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 9.69897 0.9798363447 2.4685945511    0.979  0.702  3.8922  4.247    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.78e-13      0.00 8.135e-01 1.864e-01 2.312e-05 6.348e-06 5.790e-05 -1.000 1.078e-04 3.014 3.197 3.254 3.060 2.934 2.805 2.664 2.563 2.555
0.00015547 -2.00000 9.69897 0.9893642664 2.4706616402    0.988  0.758  3.8969  4.214    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-13      0.00 8.123e-01 1.876e-01 2.324e-05 6.380e-06 5.819e-05 -1.000 8.453e-05 2.875 3.058 3.099 2.916 2.801 2.682 2.551 2.459 2.451
0.00015547 -2.00000 9.69897 0.9918525815 2.4711940289    0.991  0.773  3.8980  4.204    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-13      0.00 8.119e-01 1.880e-01 2.328e-05 6.390e-06 5.827e-05 -1.000 7.966e-05 2.837 3.020 3.057 2.877 2.764 2.648 2.519 2.429 2.421
0.00015547 -2.00000 9.69897 0.9936897159 2.4715850353    0.993  0.785  3.8985  4.196    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.13e-13      0.00 8.117e-01 1.883e-01 2.331e-05 6.397e-06 5.834e-05 -1.000 7.603e-05 2.807 2.991 3.025 2.847 2.735 2.620 2.493 2.404 2.396
0.00015547 -2.00000 9.69897 0.9985886216 2.4726195335    0.997  0.819  3.8991  4.166    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -6.81e-13      0.00 8.109e-01 1.890e-01 2.338e-05 6.416e-06 5.851e-05 -1.000 6.647e-05 2.723 2.907 2.935 2.760 2.650 2.537 2.411 2.324 2.316
0.00015547 -2.00000 9.69897 1.0000000000 2.4729156494    0.999  0.830  3.8984  4.153    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-13      0.00 8.107e-01 1.892e-01 2.340e-05 6.422e-06 5.856e-05 -1.000 6.369e-05 2.695 2.880 2.907 2.732 2.621 2.507 2.379 2.291 2.283
0.00015547 -2.00000 9.69897 1.0024813414 2.4734334946    1.001  0.850  3.8971  4.130    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-13      0.00 8.104e-01 1.896e-01 2.343e-05 6.431e-06 5.864e-05 -1.000 6.874e-05 2.646 2.832 2.858 2.681 2.569 2.453 2.323 2.233 2.225
0.00015547 -2.00000 9.69897 1.0032094717 2.4735848904    1.002  0.856  3.8964  4.121    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -7.8e-13      0.00 8.103e-01 1.897e-01 2.344e-05 6.433e-06 5.867e-05 -1.000 7.024e-05 2.630 2.816 2.843 2.665 2.551 2.435 2.303 2.212 2.204
0.00015547 -2.00000 9.69897 1.0057028532 2.4741015434    1.004  0.877  3.8943  4.092    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.39e-13      0.00 8.099e-01 1.900e-01 2.348e-05 6.443e-06 5.875e-05 -1.000 7.522e-05 2.577 2.765 2.793 2.611 2.494 2.374 2.238 2.144 2.136
0.00015547 -2.00000 9.69897 1.0104293823 2.4750728607    1.009  0.920  3.8877  4.024    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.89e-13      0.00 8.092e-01 1.907e-01 2.354e-05 6.460e-06 5.890e-05 -1.000 8.492e-05 2.469 2.661 2.695 2.502 2.374 2.243 2.094 1.989 1.979
0.00015547 -2.00000 9.69897 1.0138149261 2.4757621288    1.012  0.956  3.8780  3.951    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-12      0.00 8.088e-01 1.911e-01 2.359e-05 6.472e-06 5.901e-05 -1.000 9.179e-05 2.380 2.577 2.625 2.415 2.270 2.122 1.952 1.829 1.819
0.00015547 -2.00000 9.69897 1.0163476467 2.4762744904    1.015  0.988  3.8645  3.867    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-12      0.00 8.084e-01 1.915e-01 2.362e-05 6.481e-06 5.910e-05 -1.000 9.686e-05 2.301 2.507 2.580 2.343 2.173 2.001 1.801 1.652 1.640
0.00015547 -2.00000 9.69897 1.0182353258 2.4766542912    1.017  1.015  3.8486  3.776    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-12      0.00 8.081e-01 1.918e-01 2.365e-05 6.488e-06 5.916e-05 -1.000 1.006e-04 2.232 2.455 2.556 2.286 2.088 1.887 1.650 1.469 1.456
0.00015547 -2.00000 9.69897 1.0193436146 2.4768764973    1.018  1.033  3.8363  3.710    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-12      0.00 8.080e-01 1.919e-01 2.366e-05 6.492e-06 5.919e-05 -1.000 1.029e-04 2.188 2.427 2.550 2.253 2.032 1.809 1.544 1.338 1.322
0.00015547 -2.00000 9.69897 1.0201389790 2.4770357609    1.018  1.046  3.8258  3.656    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-12      0.00 8.079e-01 1.920e-01 2.367e-05 6.495e-06 5.922e-05 -1.000 1.045e-04 2.156 2.413 2.552 2.231 1.991 1.749 1.460 1.230 1.213
0.00015547 -2.00000 9.69897 1.0207192898 2.4771516323    1.019  1.055  3.8170  3.611    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-12      0.00 8.078e-01 1.921e-01 2.368e-05 6.498e-06 5.924e-05 -1.000 1.059e-04 2.132 2.406 2.557 2.216 1.960 1.703 1.393 1.144 1.125
0.00015547 -2.00000 9.69897 1.0211664438 2.4772410393    1.019  1.063  3.8097  3.574    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-12      0.00 8.077e-01 1.922e-01 2.369e-05 6.501e-06 5.927e-05 -1.000 1.072e-04 2.113 2.404 2.566 2.205 1.936 1.666 1.338 1.074 1.053
0.00015547 -2.00000 9.69897 1.0216325521 2.4773337841    1.020  1.070  3.8014  3.534    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-12      0.00 8.057e-01 1.941e-01 2.390e-05 6.557e-06 5.977e-05 -1.000 1.243e-04 2.095 2.408 2.580 2.197 1.911 1.628 1.280 0.998 0.974
0.00015547 -2.00000 9.69897 1.0220098495 2.4774091244    1.020  1.076  3.7944  3.501    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.54e-12      0.00 8.039e-01 1.959e-01 2.410e-05 6.611e-06 6.025e-05 -1.000 1.377e-04 2.080 2.414 2.594 2.191 1.892 1.597 1.232 0.936 0.908
